"EreignisDatJahr","EreignisDatMM","EreignisDatMonat","SexCd","SexLang","HerkunftCd","HerkunftLang","KreisCd","KreisLang","QuarCd","QuarLang","DatenstandCd","DatenstandLang","AnzGebuWir"
1998,3,"März","1","männlich","2","Ausländer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",2
1998,3,"März","1","männlich","2","Ausländer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",4
1998,3,"März","1","männlich","2","Ausländer/in","12","Kreis 12","123","Hirzenbach","V","Veröffentlicht",6
1998,3,"März","2","weiblich","1","Schweizer/in","1","Kreis 1","011","Rathaus","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","1","Kreis 1","013","Lindenhof","V","Veröffentlicht",2
1998,3,"März","2","weiblich","1","Schweizer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",4
1998,3,"März","2","weiblich","1","Schweizer/in","2","Kreis 2","023","Leimbach","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",4
1998,3,"März","2","weiblich","1","Schweizer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",5
1998,3,"März","2","weiblich","1","Schweizer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",4
1998,3,"März","2","weiblich","1","Schweizer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",5
1998,3,"März","2","weiblich","1","Schweizer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",5
1998,3,"März","2","weiblich","1","Schweizer/in","6","Kreis 6","063","Oberstrass","V","Veröffentlicht",2
1998,3,"März","2","weiblich","1","Schweizer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","7","Kreis 7","073","Hirslanden","V","Veröffentlicht",4
1998,3,"März","2","weiblich","1","Schweizer/in","7","Kreis 7","074","Witikon","V","Veröffentlicht",3
1998,3,"März","2","weiblich","1","Schweizer/in","8","Kreis 8","081","Seefeld","V","Veröffentlicht",2
1998,3,"März","2","weiblich","1","Schweizer/in","8","Kreis 8","082","Mühlebach","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","8","Kreis 8","083","Weinegg","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",3
1998,3,"März","2","weiblich","1","Schweizer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",3
1998,3,"März","2","weiblich","1","Schweizer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",2
1998,3,"März","2","weiblich","1","Schweizer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",3
1998,3,"März","2","weiblich","1","Schweizer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",4
1998,3,"März","2","weiblich","1","Schweizer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",7
1998,3,"März","2","weiblich","1","Schweizer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",1
1998,3,"März","2","weiblich","1","Schweizer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",3
1998,3,"März","2","weiblich","2","Ausländer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",1
1998,3,"März","2","weiblich","2","Ausländer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",2
1998,3,"März","2","weiblich","2","Ausländer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",1
1998,3,"März","2","weiblich","2","Ausländer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",6
1998,3,"März","2","weiblich","2","Ausländer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",2
1998,3,"März","2","weiblich","2","Ausländer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",7
1998,3,"März","2","weiblich","2","Ausländer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",4
1998,3,"März","2","weiblich","2","Ausländer/in","5","Kreis 5","052","Escher Wyss","V","Veröffentlicht",1
1998,3,"März","2","weiblich","2","Ausländer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",3
1998,3,"März","2","weiblich","2","Ausländer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",2
1998,3,"März","2","weiblich","2","Ausländer/in","7","Kreis 7","074","Witikon","V","Veröffentlicht",1
1998,3,"März","2","weiblich","2","Ausländer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",2
1998,3,"März","2","weiblich","2","Ausländer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",9
1998,3,"März","2","weiblich","2","Ausländer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",2
1998,3,"März","2","weiblich","2","Ausländer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",3
1998,3,"März","2","weiblich","2","Ausländer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",3
1998,3,"März","2","weiblich","2","Ausländer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",3
1998,3,"März","2","weiblich","2","Ausländer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",6
1998,3,"März","2","weiblich","2","Ausländer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",1
1998,3,"März","2","weiblich","2","Ausländer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",2
1998,4,"April","1","männlich","1","Schweizer/in","1","Kreis 1","011","Rathaus","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","1","Kreis 1","012","Hochschulen","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",5
1998,4,"April","1","männlich","1","Schweizer/in","2","Kreis 2","023","Leimbach","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",2
1998,4,"April","1","männlich","1","Schweizer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",9
1998,4,"April","1","männlich","1","Schweizer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",4
1998,4,"April","1","männlich","1","Schweizer/in","4","Kreis 4","041","Werd","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",6
1998,4,"April","1","männlich","1","Schweizer/in","6","Kreis 6","063","Oberstrass","V","Veröffentlicht",2
1998,4,"April","1","männlich","1","Schweizer/in","7","Kreis 7","071","Fluntern","V","Veröffentlicht",4
1998,4,"April","1","männlich","1","Schweizer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","7","Kreis 7","073","Hirslanden","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","8","Kreis 8","081","Seefeld","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","8","Kreis 8","082","Mühlebach","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","8","Kreis 8","083","Weinegg","V","Veröffentlicht",1
1998,4,"April","1","männlich","1","Schweizer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",5
1998,4,"April","1","männlich","1","Schweizer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",6
1998,4,"April","1","männlich","1","Schweizer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",4
1998,4,"April","1","männlich","1","Schweizer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",5
1998,4,"April","1","männlich","1","Schweizer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",7
1998,4,"April","1","männlich","1","Schweizer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",2
1998,4,"April","1","männlich","1","Schweizer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",2
1998,4,"April","1","männlich","1","Schweizer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",3
1998,4,"April","1","männlich","1","Schweizer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",2
1998,4,"April","1","männlich","2","Ausländer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",4
1998,4,"April","1","männlich","2","Ausländer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","4","Kreis 4","041","Werd","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","5","Kreis 5","052","Escher Wyss","V","Veröffentlicht",2
1998,4,"April","1","männlich","2","Ausländer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",4
1998,4,"April","1","männlich","2","Ausländer/in","6","Kreis 6","063","Oberstrass","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","7","Kreis 7","071","Fluntern","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","8","Kreis 8","081","Seefeld","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",5
1998,4,"April","1","männlich","2","Ausländer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",7
1998,4,"April","1","männlich","2","Ausländer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",4
1998,4,"April","1","männlich","2","Ausländer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",3
1998,4,"April","1","männlich","2","Ausländer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",1
1998,4,"April","1","männlich","2","Ausländer/in","12","Kreis 12","123","Hirzenbach","V","Veröffentlicht",3
1998,4,"April","2","weiblich","1","Schweizer/in","1","Kreis 1","013","Lindenhof","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",9
1998,4,"April","2","weiblich","1","Schweizer/in","2","Kreis 2","023","Leimbach","V","Veröffentlicht",2
1998,4,"April","2","weiblich","1","Schweizer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",6
1998,4,"April","2","weiblich","1","Schweizer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",3
1998,4,"April","2","weiblich","1","Schweizer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",4
1998,4,"April","2","weiblich","1","Schweizer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",4
1998,4,"April","2","weiblich","1","Schweizer/in","4","Kreis 4","041","Werd","V","Veröffentlicht",4
1998,4,"April","2","weiblich","1","Schweizer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",2
1998,4,"April","2","weiblich","1","Schweizer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",4
1998,4,"April","2","weiblich","1","Schweizer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",5
1998,4,"April","2","weiblich","1","Schweizer/in","6","Kreis 6","063","Oberstrass","V","Veröffentlicht",2
1998,4,"April","2","weiblich","1","Schweizer/in","7","Kreis 7","071","Fluntern","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",3
1998,4,"April","2","weiblich","1","Schweizer/in","7","Kreis 7","073","Hirslanden","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","7","Kreis 7","074","Witikon","V","Veröffentlicht",4
1998,4,"April","2","weiblich","1","Schweizer/in","8","Kreis 8","081","Seefeld","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",6
1998,4,"April","2","weiblich","1","Schweizer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",7
1998,4,"April","2","weiblich","1","Schweizer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",2
1998,4,"April","2","weiblich","1","Schweizer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",3
1998,4,"April","2","weiblich","1","Schweizer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",6
1998,4,"April","2","weiblich","1","Schweizer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",1
1998,4,"April","2","weiblich","1","Schweizer/in","12","Kreis 12","123","Hirzenbach","V","Veröffentlicht",3
1998,4,"April","2","weiblich","2","Ausländer/in","1","Kreis 1","011","Rathaus","V","Veröffentlicht",1
1998,4,"April","2","weiblich","2","Ausländer/in","1","Kreis 1","012","Hochschulen","V","Veröffentlicht",1
1998,4,"April","2","weiblich","2","Ausländer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",4
1998,4,"April","2","weiblich","2","Ausländer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",1
1998,4,"April","2","weiblich","2","Ausländer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",6
1998,4,"April","2","weiblich","2","Ausländer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",6
1998,4,"April","2","weiblich","2","Ausländer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",5
1998,4,"April","2","weiblich","2","Ausländer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",3
1998,4,"April","2","weiblich","2","Ausländer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","7","Kreis 7","071","Fluntern","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","7","Kreis 7","074","Witikon","V","Veröffentlicht",3
1998,4,"April","2","weiblich","2","Ausländer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",4
1998,4,"April","2","weiblich","2","Ausländer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",6
1998,4,"April","2","weiblich","2","Ausländer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",6
1998,4,"April","2","weiblich","2","Ausländer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",5
1998,4,"April","2","weiblich","2","Ausländer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",1
1998,4,"April","2","weiblich","2","Ausländer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",1
1998,4,"April","2","weiblich","2","Ausländer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","12","Kreis 12","122","Schwamendingen-Mitte","V","Veröffentlicht",2
1998,4,"April","2","weiblich","2","Ausländer/in","12","Kreis 12","123","Hirzenbach","V","Veröffentlicht",2
1998,5,"Mai","1","männlich","1","Schweizer/in","1","Kreis 1","011","Rathaus","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","1","Kreis 1","012","Hochschulen","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","2","Kreis 2","021","Wollishofen","V","Veröffentlicht",4
1998,5,"Mai","1","männlich","1","Schweizer/in","2","Kreis 2","023","Leimbach","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","2","Kreis 2","024","Enge","V","Veröffentlicht",3
1998,5,"Mai","1","männlich","1","Schweizer/in","3","Kreis 3","031","Alt-Wiedikon","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","3","Kreis 3","033","Friesenberg","V","Veröffentlicht",2
1998,5,"Mai","1","männlich","1","Schweizer/in","3","Kreis 3","034","Sihlfeld","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","4","Kreis 4","042","Langstrasse","V","Veröffentlicht",5
1998,5,"Mai","1","männlich","1","Schweizer/in","4","Kreis 4","044","Hard","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","5","Kreis 5","051","Gewerbeschule","V","Veröffentlicht",4
1998,5,"Mai","1","männlich","1","Schweizer/in","6","Kreis 6","061","Unterstrass","V","Veröffentlicht",6
1998,5,"Mai","1","männlich","1","Schweizer/in","6","Kreis 6","063","Oberstrass","V","Veröffentlicht",6
1998,5,"Mai","1","männlich","1","Schweizer/in","7","Kreis 7","071","Fluntern","V","Veröffentlicht",3
1998,5,"Mai","1","männlich","1","Schweizer/in","7","Kreis 7","072","Hottingen","V","Veröffentlicht",3
1998,5,"Mai","1","männlich","1","Schweizer/in","7","Kreis 7","073","Hirslanden","V","Veröffentlicht",1
1998,5,"Mai","1","männlich","1","Schweizer/in","7","Kreis 7","074","Witikon","V","Veröffentlicht",3
1998,5,"Mai","1","männlich","1","Schweizer/in","8","Kreis 8","082","Mühlebach","V","Veröffentlicht",2
1998,5,"Mai","1","männlich","1","Schweizer/in","8","Kreis 8","083","Weinegg","V","Veröffentlicht",3
1998,5,"Mai","1","männlich","1","Schweizer/in","9","Kreis 9","091","Albisrieden","V","Veröffentlicht",6
1998,5,"Mai","1","männlich","1","Schweizer/in","9","Kreis 9","092","Altstetten","V","Veröffentlicht",5
1998,5,"Mai","1","männlich","1","Schweizer/in","10","Kreis 10","101","Höngg","V","Veröffentlicht",4
1998,5,"Mai","1","männlich","1","Schweizer/in","10","Kreis 10","102","Wipkingen","V","Veröffentlicht",6
1998,5,"Mai","1","männlich","1","Schweizer/in","11","Kreis 11","111","Affoltern","V","Veröffentlicht",2
1998,5,"Mai","1","männlich","1","Schweizer/in","11","Kreis 11","115","Oerlikon","V","Veröffentlicht",5
1998,5,"Mai","1","männlich","1","Schweizer/in","11","Kreis 11","119","Seebach","V","Veröffentlicht",5
1998,5,"Mai","1","männlich","1","Schweizer/in","12","Kreis 12","121","Saatlen","V","Veröffentlicht",1
